Classes,Properties
http://www.ontologyrepository.com/CommonCoreOntologies/Act,http://purl.obolibrary.org/obo/BFO_0000050
http://www.ontologyrepository.com/CommonCoreOntologies/ActionPermission,http://purl.obolibrary.org/obo/BFO_0000054
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfCommunication,http://purl.obolibrary.org/obo/BFO_0000055
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfInhabitancy,http://purl.obolibrary.org/obo/RO_0000053
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfOwnership,http://purl.obolibrary.org/obo/RO_0000056
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfResiding,http://purl.obolibrary.org/obo/RO_0000057
http://www.ontologyrepository.com/CommonCoreOntologies/Artifact,http://purl.obolibrary.org/obo/RO_0001025
http://www.ontologyrepository.com/CommonCoreOntologies/AuthorityRole,http://www.ontologyrepository.com/CommonCoreOntologies/agent_in
http://www.ontologyrepository.com/CommonCoreOntologies/BiologicalSex,http://www.ontologyrepository.com/CommonCoreOntologies/described_by
http://www.ontologyrepository.com/CommonCoreOntologies/Birth,http://www.ontologyrepository.com/CommonCoreOntologies/designated_by
http://www.ontologyrepository.com/CommonCoreOntologies/Capability,http://www.ontologyrepository.com/CommonCoreOntologies/has_object
http://www.ontologyrepository.com/CommonCoreOntologies/CommunicationArtifactFunction,http://www.ontologyrepository.com/CommonCoreOntologies/has_organizational_context
http://www.ontologyrepository.com/CommonCoreOntologies/Country,http://www.ontologyrepository.com/CommonCoreOntologies/has_output
http://www.ontologyrepository.com/CommonCoreOntologies/DateIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/has_value
http://www.ontologyrepository.com/CommonCoreOntologies/Day,http://www.ontologyrepository.com/CommonCoreOntologies/is_measured_by_nominal
http://www.ontologyrepository.com/CommonCoreOntologies/DescriptiveMeasurementContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/is_object_of
http://www.ontologyrepository.com/CommonCoreOntologies/DesignativeName,http://www.ontologyrepository.com/CommonCoreOntologies/occurs_on
http://www.ontologyrepository.com/CommonCoreOntologies/EmailAddress,http://www.ontologyrepository.com/CommonCoreOntologies/uses
http://www.ontologyrepository.com/CommonCoreOntologies/EmailBox,
http://www.ontologyrepository.com/CommonCoreOntologies/Facility,
http://www.ontologyrepository.com/CommonCoreOntologies/FacsimileMachine,
http://www.ontologyrepository.com/CommonCoreOntologies/FacsimileMachineNumber,
http://www.ontologyrepository.com/CommonCoreOntologies/FirstOrderAdministrativeRegion,
http://www.ontologyrepository.com/CommonCoreOntologies/LandlineTelephone,
http://www.ontologyrepository.com/CommonCoreOntologies/LocalAdministrativeRegion,
http://www.ontologyrepository.com/CommonCoreOntologies/MobileTelephone,
http://www.ontologyrepository.com/CommonCoreOntologies/NominalMeasurementInformationContentEntity,
http://www.ontologyrepository.com/CommonCoreOntologies/OccupationRole,
http://www.ontologyrepository.com/CommonCoreOntologies/Organization,
http://www.ontologyrepository.com/CommonCoreOntologies/Person,
http://www.ontologyrepository.com/CommonCoreOntologies/PersonFamilyName,
http://www.ontologyrepository.com/CommonCoreOntologies/PersonGivenName,
http://www.ontologyrepository.com/CommonCoreOntologies/PostalCode,
http://www.ontologyrepository.com/CommonCoreOntologies/PostalZone,
http://www.ontologyrepository.com/CommonCoreOntologies/ResidentialFacility,
http://www.ontologyrepository.com/CommonCoreOntologies/ServiceArtifactFunction,
http://www.ontologyrepository.com/CommonCoreOntologies/StasisOfTelecommunicationEndpointAssignment,
http://www.ontologyrepository.com/CommonCoreOntologies/StreetAddress,
http://www.ontologyrepository.com/CommonCoreOntologies/TelecommunicationEndpoint,
http://www.ontologyrepository.com/CommonCoreOntologies/Telephone,
http://www.ontologyrepository.com/CommonCoreOntologies/TelephoneNumber,
